,URL,Dinosaur,Height,Weight,Dino_Name,Domain,Kingdom
0,https://en.wikipedia.org/wiki/Fossil,fossilized,-,-,Fossil,,
1,https://en.wikipedia.org/wiki/Bird,bird,-,-,Bird,Eukaryota,Animalia
2,https://en.wikipedia.org/wiki/Feathered_dinosaur,feathered,-,-,Feathered_dinosaur,,
3,https://en.wikipedia.org/wiki/Evolution_of_birds,evolved,-,-,Evolution_of_birds,,
4,https://en.wikipedia.org/wiki/Theropoda,theropod,-,-,Theropoda,Eukaryota,Animalia
5,https://en.wikipedia.org/wiki/Late_Jurassic,Late Jurassic,-,-,Late_Jurassic,,
6,https://en.wikipedia.org/wiki/Epoch_(geology),epoch,-,-,Epoch_(geology),,
7,https://en.wikipedia.org/wiki/Cretaceous%E2%80%93Paleogene_extinction_event,Cretaceous–Paleogene extinction event,-,25 kilograms,Cretaceous%E2%80%93Paleogene_extinction_event,,
8,https://en.wikipedia.org/wiki/Theropod,theropod,-,-,Theropod,Eukaryota,Animalia
9,https://en.wikipedia.org/wiki/Origin_of_birds,only known living dinosaurs,-,-,Origin_of_birds,,
10,https://en.wikipedia.org/wiki/Genera,genera,-,-,Genera,,
11,https://en.wikipedia.org/wiki/Avialae,Avialae,-,-,Avialae,Eukaryota,Animalia
12,https://en.wikipedia.org/wiki/Nomen_dubium,Nomen dubium,-,-,,,
13,https://en.wikipedia.org/wiki/Nomen_nudum,Nomen nudum,-,-,,,
14,https://en.wikipedia.org/wiki/Synonym_(taxonomy),synonym,-,-,,,
15,https://en.wikipedia.org/wiki/Crocodilia,crocodilian,-,-,Crocodilia,Eukaryota,Animalia
16,https://en.wikipedia.org/wiki/Petrified_wood,petrified wood,-,-,,,
17,https://en.wikipedia.org/wiki/Nomina_dubia,nomina dubia,-,-,,,
18,https://en.wikipedia.org/wiki/Biological_nomenclature,biological nomenclature,-,-,,,
19,https://en.wikipedia.org/wiki/International_Code_of_Zoological_Nomenclature,preoccupied,-,-,International_Code_of_Zoological_Nomenclature,,
